Date,Treatment_Temp,Unit,FFKE#,InitialC0 __PostC1_POCIS,FF#_Running,FF#_Running,Acetaminophen,Amoxicillin,Ampicillin,Atenolol,Atrazine,Benzophenone_1,Benzophenone_3,Beta-Cyfluthrin,Buspirone,Caffeine,Carbamazepine_A,Carbaryl,Chlorpyrifos,Chlortetracycline,Citalopram,Clarithromycin,Clothianidin,Cyhalothrin,DEET,Erythromycin,Esfenvalerate,Ibuprofen,Imidacloprid,Ketoprofen,Malathion,Metformin,Metoprolol,Naproxen,Ofloxacin,Oxytetracycline,Permethrin,Simazine,Sucralose,Sulfadiazine,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiacloprid,Thiamethoxam,Trimethoprim,Venlafaxine,,
6/7/2023,15,2,6,C0,13,FF-13,0.0069,0.0002,0.0048,0,0.0059,0.0006,0.0104,NA,0.0001,0.0001,0,0.0004,0.0002,0.0003,0.0002,0.0008,0.0031,NA,0.0035,0.0036,NA,0.0037,0.0016,0.0002,0,0.0065,0.0034,0.0072,0.0152,0.0005,NA,0.0077,0.0077,0.007,0.0072,0.0043,0.0051,0.0003,0.0069,0.0003,0,0.0173,0.0058,,
6/8/2023,15,2,6,C1,14,FF-14,0.0066,NA,0.0001,0,0.0048,0.0005,0.0207,NA,0.0001,0.0076,0.0013,0.0004,0,0.0001,0.0001,0,0,NA,0.0028,0.0035,NA,0.0007,0.0011,0.0023,0.0001,0.0065,0.0027,0.0059,0.0127,0.0003,0.0001,0.0058,0.0058,0.0071,0.0062,0.0039,0.0049,0.0002,0.0068,0,0.004,0.0135,0.0044,,
6/7/2023,15,3,7,C0,15,FF-15,0.0074,0.0001,0.0051,0,0.0057,0.0004,NA,NA,0.0001,0.0087,0,0.0002,0.0002,0.0002,0.0001,0,0.0033,NA,0.003,0.0032,NA,0.0112,0.0016,0.0032,0,0.0067,0.0035,0.007,0.0147,0.0005,NA,0.0064,0.0081,0.0074,0,0.0043,0.0052,0.0003,0.0075,0,0.005,0.018,0.0061,,
6/8/2023,15,3,7,C1,16,FF-16,0.0074,NA,0,0,0.0044,0.0005,NA,0.0075,0.0001,0.0085,0.0011,0.0003,0.0002,0.0001,0,0.0007,0.0018,NA,0.0025,0.0024,0,0.015,0.0012,0.0031,0.0001,0.0072,0.003,0.0052,0.0134,0.0004,NA,0.0051,0.0067,0.0078,0.0054,0.0042,0.0054,0.0002,0,0,0.0046,0.0155,0.005,,
6/7/2023,15,4_Control,8,C0,17,FF-17,0.0065,0.0003,0.0055,0,0.0055,0.0004,NA,NA,0.0001,0.0078,0.0014,0.0003,0.0001,0.0002,0,0.0007,0.0021,0,0.0026,0.0031,NA,0.009,0.0017,0.0032,0,0.006,0.0032,0.0052,0.0133,0.0004,0.0001,0.0059,0.0072,0.0066,0.0063,0.004,0.0047,0.0002,0.0066,0,0.0045,0.0171,0.0054,,
6/8/2023,15,4_Control,8,C1,18,FF-18,0.0079,NA,0.0063,0,0.006,0.0003,0.0247,NA,0.0001,0.009,0.0014,0.0001,0.0002,0.0001,0,0.0007,0,NA,0.0032,0.0027,NA,0.0101,0.0018,0.0037,0,0.0072,0.0036,0.0069,0.0151,0.0004,NA,0.0066,0.008,0.0079,0.0072,0.0048,0.0057,0.0002,0.0079,0,0.0053,0.019,0.006,,
6/7/2023,30,1_Control,9,C0,19,FF-19,0.0067,NA,0.0041,0,0.0063,0.0006,0.027,NA,0.0001,0.0077,0.002,0.0004,0.0001,0,0,0.0008,0.0039,NA,0.0026,0.0024,NA,0.0131,0.0023,0.0031,0,0.006,0.0031,0.0066,0.0271,0.0005,NA,0.0063,0.0071,0.0067,0.0065,0.0042,0.0048,0.0002,0.007,0.0007,0.0047,0.021,0.0053,,
6/8/2023,30,1_Control ,9,C1,20,FF-20,0.0066,NA,0,0,0.0056,0.0005,NA,NA,0.0001,0.0074,0.0019,0.0001,0.0001,0.0044,0,0,0.0048,NA,0.0027,0,NA,0.0103,0.0023,0.0034,0,0.0061,0.0032,0.0058,0.0144,0.0005,NA,0.0062,0.0065,0.0067,0.0062,0.0042,0.0048,0,0.0067,0,0.004,0.0208,0.0049,,
6/7/2023,30,2,10,C0,21,FF-21,0.0079,0.0001,0.0043,0,0.0068,0.0005,0.0019,NA,0.0001,0.0091,0.0021,0.0001,0.0001,0.004,0,0.0008,0,NA,0.0031,0.0028,NA,0.0084,0.0027,0.0041,0,0.0071,0.0037,0.0074,0.0159,0.0008,NA,0.007,0.0078,0.0079,0.0077,0.005,0.0057,0.0003,0.008,0.0007,0.0054,0.0239,0.0058,,
6/8/2023,30,2,10,C1,22,FF-22,0.0076,NA,0,0,0.0044,0.0003,NA,NA,0.0001,0.0088,0.0015,0,0.0001,0.0045,0,0.0007,0,NA,0.0024,0.0027,NA,0.0057,0.002,0.0032,0,0.0071,0.0029,0.0066,0.0134,0.0004,NA,0.0053,0.006,0.0078,0.0069,0.0047,0.0056,0.0001,0.0081,0,0.0046,0.019,0.0045,,
6/7/2023,30,3,11,C0,23,FF-23,0.0079,NA,0.0027,0,0.0067,0.0006,0.066,NA,0.0001,0.0097,0.0022,0,0.0002,0.0001,0,0.0009,0.0053,NA,0.0031,0.0027,NA,0.0004,0.0025,0.0036,0,0.0071,0.0037,0.0069,0.0154,0.0008,NA,0.0074,0.0078,0.0082,0.0068,0.005,0.0057,0.0003,0,0.0006,0.0055,0.0235,0.0058,,
6/8/2023,30,3,11,C1,24,FF-24,0.0076,0.0001,NA,0,0.0045,0.0003,0.0007,NA,0.0001,0.0092,0.0015,0.0001,0.0001,0.0045,0,0.0008,0,NA,0.0023,0,NA,0.0017,0.002,0.0031,0,0.007,0.0029,0.0067,0.0124,0.0007,NA,0.0053,0.006,0.0001,0.0075,0.0046,0.0055,0.0002,0.0083,0,0.0047,0.0181,0.0045,,
6/7/2023,30,4,12,C0,25,FF-25,0.0079,NA,0.0033,0,0,0.0004,0.0439,NA,0.0001,0.0096,0.0021,0.0001,0.0001,0.0037,0,0.0008,0.004,NA,0.0032,0.0029,NA,0.0053,0.0025,0.004,0,0.0071,0.0038,0.0079,0.0158,0.0006,NA,0.0072,0.0077,0.0078,0.0077,0.0049,0.0055,0.0002,0.0083,0.0005,0.0058,0.0234,0,,
6/8/2023,30,4,12,C1,26,FF-26,0.0077,NA,NA,0,0.0054,0.0003,0.0092,NA,0.0001,0.0092,0.0018,0.0002,0.0001,0.0045,0,0.0011,0.005,NA,0.0028,0.0041,NA,0.0114,0.002,0.0037,0,0.0068,0.0029,0.0072,0.0122,0.0007,NA,0.0063,0.0061,0.0078,0.0079,0.0046,0.0056,0.0002,0,0,0.0045,0.0182,0.0046,,
6/7/2023,45,1,13,C0,27,FF-27,0.008,NA,0.001,0,0.0073,0.0005,0.044,NA,0.0001,0.009,0.0028,0.0002,0,0.0063,0,0.0009,0.0053,NA,0.0037,0.003,NA,0.0161,0.0031,0.0037,NA,0.0072,0.0039,0.0067,0.0154,0.0006,NA,0.0082,0.0078,0.0081,0.0082,0.0051,0.0057,0.0002,0,0.0011,0.0056,0.0258,0.0059,,
6/8/2023,45,1,13,C1,28,FF-28,0.0076,NA,NA,0,0.0048,0.0008,NA,NA,0.0001,0.0092,0.002,0.0001,0.0001,0.0045,0,0.0009,0.0044,NA,0.0024,0.002,NA,0.0051,0.0021,0.0032,NA,0.0072,0.0026,0.0065,0.0134,0.0001,NA,0.0054,0.005,0.0079,0.0062,0.0049,0.0054,0.0001,0.0084,0.0007,0.0025,0.0209,0.0037,,
6/7/2023,45,2,14,C0,29,FF-29,0.0079,NA,0.0015,0,0.0077,0.0007,0.0418,NA,0.0002,0.0093,0.0029,0.0002,0.0001,0.006,0,0.0011,0,NA,0.0035,0.0025,NA,0.0102,0.0031,0.0035,0,0.0069,0.0038,0.007,0.0143,0.0006,0,0.0079,0.0079,0.008,0.0061,0.0049,0.0057,0.0002,0.0001,0.0009,0.0056,0.0254,0.0059,,
